"id","timestamp","nama-sertifikat","penerbit-sertifikat","tahun-terbit","tipe","tombol transkrip","url-gambar-depan","url-gambar-belakang","","","","","","","","","","","","","","","","",""
"1","08/06/2026 17:41:03","Juara I - IT Network System Administration","LKS SMK Kabupaten Purworejo","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/LKS-Certificate.webp","","","","","","","","","","","","","","","","","",""
"2","05/08/2026 7:50:18","Peserta Lomba Kompetensi Siswa (LKS) SMK Tingkat Provinsi Jawa Tengah XXXIV – IT Network System Administration","Dinas Pendidikan Provinsi Jawa Tengah","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/sertifikat-peserta-lks-provinsi.webp","","","","","","","","","","","","","","","","","",""
"3","08/06/2026 18:40:20","Sertifikat PKL UPTD BLK Kebumen","Dinas Tenaga Kerja Kabupaten Kebumen","2025","vertical","ada","https://cdn.fatah.web.id/portfolio/assets/certificates/PKL-UPTD-BLK-Kebumen-1.webp","https://cdn.fatah.web.id/portfolio/assets/certificates/PKL-UPTD-BLK-Kebumen-2.webp","","","","","","","","","","","","","","","","",""
"4","08/06/2026 18:44:41","Sertifikat PKL IMC Computer","Izzan Mediatek Computindo","2025","horizontal","ada","https://cdn.fatah.web.id/portfolio/assets/certificates/PKL-IMC-Computer-1.webp","https://cdn.fatah.web.id/portfolio/assets/certificates/PKL-IMC-Computer-2.webp","","","","","","","","","","","","","","","","",""
"5","09/06/2026 6:32:44","Linux Fundamental","Aguna Course","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/aguna-linux-fund.webp","","","","","","","","","","","","","","","","","",""
"6","09/06/2026 6:34:35","Network Fundamental","Aguna Course","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/aguna-net-fund.webp","","","","","","","","","","","","","","","","","",""
"7","09/06/2026 6:36:28","Virtual Machine Fundamental","Aguna Course","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/aguna-VM-fund.webp","","","","","","","","","","","","","","","","","",""
"8","09/06/2026 6:40:38","Jaringan Komputer Dasar","ID-Networkers","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/idn-basic-computer-net.webp","","","","","","","","","","","","","","","","","",""
"9","09/06/2026 6:42:41","MikroTik Dasar","ID-Networkers","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/idn-basic-mikrotik.webp","","","","","","","","","","","","","","","","","",""
"10","09/06/2026 6:44:03","Cisco Dasar","ID-Networkers","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/idn-basic-cisco.webp","","","","","","","","","","","","","","","","","",""
"11","09/06/2026 6:46:20","Belajar Linux dari Nol","ID-Networkers","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/idn-basic-linux.webp","","","","","","","","","","","","","","","","","",""
"12","09/06/2026 6:49:22","Cyber Security Dasar","ID-Networkers","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/idn-basic-cyber-security.webp","","","","","","","","","","","","","","","","","",""
"13","09/06/2026 6:51:36","Getting Started with Cisco Packet Tracer","Cisco Networking Academy","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/cisco-get-started-PT.webp","","","","","","","","","","","","","","","","","",""
"14","09/06/2026 6:59:40","Dasar dan Penggunaan Generatif AI","Codepolitan","2026","horizontal","ada","https://cdn.fatah.web.id/portfolio/assets/certificates/codepolitan-basic-gen-ai-1.webp","https://cdn.fatah.web.id/portfolio/assets/certificates/codepolitan-basic-gen-ai-2.webp","","","","","","","","","","","","","","","","",""
"15","09/06/2026 7:04:37","Pengenalan Kolaborasi Menggunakan Tools Gratis Penyimpanan Berbasis Cloud","DTS Komdigi","2026","vertical","","https://cdn.fatah.web.id/portfolio/assets/certificates/dts-komdigi-cloud-collab.webp","","","","","","","","","","","","","","","","","",""
"16","09/06/2026 7:06:11","EF SET English Certificate","EF Standard English Test","2026","vertical","","https://cdn.fatah.web.id/portfolio/assets/certificates/efset-english-test.webp","","","","","","","","","","","","","","","","","",""
"17","09/06/2026 7:08:47","AI for Work & Career Readiness with Google AI Products","Hacktiv8","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/hacktiv8-ai-work-career-readiness.webp","","","","","","","","","","","","","","","","","",""
"18","09/06/2026 7:10:24","Introduction to Python","Sololearn","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/sololearn-introduction-python.webp","","","","","","","","","","","","","","","","","",""
"19","09/06/2026 7:12:20","Machine Learning for Beginners","Sololearn","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/sololearn-ML-beginners.webp","","","","","","","","","","","","","","","","","",""
"20","09/06/2026 7:14:25","Prompt Engineering","Sololearn","2026","horizontal","","https://cdn.fatah.web.id/portfolio/assets/certificates/sololearn-prompt-engineering.webp","","","","","","","","","","","","","","","","","",""
